분류군ID,학명,국명,분류계급,이명여부,명명자,명명년도,최초명명자,최초명명년도,설명,,
1000041,Iris sanguinea,붓꽃,Species,Ready(Synonym),,,,,"높이가 60cm 에 달하는 다년초로서 근경은 옆으로 벋으면서 새싹이 나오며 잔뿌리가 많이 내린다. 원줄기는총생하고 밑부분에 적갈색 섬유가 있다. 잎은 곧추서며길이 30?50cm, 너비 5? 10mm로서 융기한 맥이 없고밑부분이 잎집 같으며 붉은빛이 도는 것도 있다. 꽃은 5?6월에 피고 지름 8cm로서 자주색이며 꽃줄기 끝에 2~3개씩 달리고 잎 같은 포가 있으며 끝의 포는 좁은피침형이고 길이 5~6cm로서 녹색이며 뾰족하다. 소포는 포보다 긴 것도 있고 소화경은 길이 2~4cm 로서 소포보다는 짧지만 씨방보다는 길다. 외화피는 넓은 도란형이며 밑부분의 돌기에 옆으로 달린 자주색 맥이 있고내화피는 곧추서며 작다. 수술은 3개이고 꽃밥은 혹자색으로서 밖을 향하며 암술대의 가지가 다시 2개로 갈라지고 열편이 다시 잘게 갈라진다. 삭과는 대가 있으며길이 3.5?4.5cm로서 3개의 능선이 있고 방추형이며 종자는 갈색이고 삭과 끝이터지면서 나온다. 민간에서근경을 개선（疥癖） 등의 피부병에 사용한다. 진보라붓꽃, var. violacea Mak. 은 꽃색깔이 이와 다르다. 그리고 꽃줄기가 갈라지고 근경은 갈색. 꽃은 보라색인 것을 661+. 시베리아붓꽃, Lsi'fcakica 이라고 한다.",,
1000042,Iris setosa,부채붓꽃,Species,Ready(Synonym),,,,,"북부지방의 습지에서 자라는 다년초로서 근경은 비스듬히 서고 섬유로 덮여 있다. 잎은 길이 20?40cm, 너비1~2αη 로서 끝이 뾰족하며 주맥이 뚜렷하지 않다. 꽃줄기는 높이 30~70αη로서 가지가 갈라지고 여러 개의 포（苞）가 있으며 포는 녹색으로서 창 같고 소포（小苞）는 넓은 피침형이며 둔두이고 길이 2?3cm로서 때로는 안쪽에 있는 전엽（前葉）보다 짧으며 소화경은 길이 3~4cm이다. 꽃은 6~7월에 피고 자주색이며 지름 8cm 정도이고통부가 짧으며 외화피는 넓은 도란형（倒卵形）으로서 밑부분이 뾰족하고 뾰족한 부분에 황색의 맥이 있으며 내화피는 피침형 예첨두이다.암술대는 3개로 갈라진 다음 다시 2개씩 갈라지고 열편에 톱니가 있으며 꽃밥은자주색이다. 삭과는 길이 3cm 정도로서 타원체이고 종자는 연한갈색이다.",,
1000043,Solanum viarum,왕도깨비가지,Species,Ready(Synonym),,,,,,,
1000044,Sonchus asper,큰방가지똥,Species,Ready(Synonym),,,,,,,
1000045,Iris sibirica,,Species,Ready(Synonym),,,,,,,
1000046,Viola acuminata,졸방제비꽃,Species,Ready(Synonym),,,,,"산기슭 양지에서 자라는 다년초로서 높이 20.~40cm 이며 전체에 털이 약간 있고 보통 여러 대가 한군데에서나온다. 잎은 호생하며 3각상 심장형이잎자루가 있으며 길이 2.5~4cm, 너비 3~5cm로서 윗부분의 '잎은너비가 길이보다 짧고 끝이 점차 길게 뾰족해지며 가장자리에 둔한 톱니가 있고 턱잎은 장타원형으로서 빗살같은 톱니가 있다. 5~6월에 원줄기 윗부분의 잎겨드랑이에서 길이 5~10cm의 꽃자루가 나와 백색 또는 연한자줏빛이 도는 꽃이 옆을 향해 달리며 꽃자루 윗부분에좁은 포가 달리고 흰 꽃의 순판에 자주색 줄이 있다. 꽃받침잎은 녹색이며 길이 7~10mm이고 부속체는 반원형으로서 가장자리가 밋밋하거나 끝이 오그라든다. 꽃잎은 길이 8? 10mm로서 측판안쪽에 털이 있으며 거는 길이 3~4mm 이다. 어린 순을나물로 한다. 꽃잎 안쪽을제외한 전체에 털이 없는 것을 민졸방제비꽃, for. glaberrimaHara 이라고 한다.",,
1000047,Solanum lyratum,배풍등,Species,Ready(Synonym),,,,,"줄기의 기부만 월동하는 다년초로서 길이가 3m에 달하고 끝이 덩굴 같으며 줄기와 잎에 선상（腺狀）의 털이있다. 잎은 호생하고 난형 또는 장타원형이며 첨두 심장저이고 길이 3?8cm, 너비 2?4cm로서 보통 기부에서1?2쌍의 열편이 갈라진다. 꽃차례는 잎과 대생하며 가지가 갈라져서 흰 꽃이 피고 꽃자루는 길이 l~4cm이며 꽃받침에 둔한 톱니가 있고 꽃부리는 수레바퀴모양이며 5개로 깊게 갈라지고 열편은 피침형으로서 뒤로젖혀진다. 꽃밥은 길이 3mm 정도로서 구멍으로 터지며열매는 둥글고 지름 8mm로서 적색으로 익는다. 줄기에털이 없고 잎 가장자리에 털이 있으며 전혀 갈라지지 않는 것을 왕배품등. S. megacarpumKoidz. 이라고 하며제주도에서 자란다.",,
1000048,Viola arvensis,야생팬지,Species,Ready(Synonym),,,,,,,
1000049,Arenaria serpyllifolia,벼룩이자리,Species,Ready(Synonym),,,,,"널리 퍼져 있는 1년 내지 2년생 잡초로서 전체에 밑을 향한 짧은 털이 있고 원줄기는 밑에서부터 많이 갈라지며 높이 10~25cm로서 밑부분의 옆으로 범은 가지가땅에 닿는다. 잎은 대생하고 잎자루가 없으며 난형 또는 넓은 타원형이고 길이 3~7mm, 너비 l~5mm로서 양끝이 좁다. 꽃은 4?5월에 피며 백색이고 윗부분의 잎겨드랑이에서 길이 1cm 정도의 화병（花柄）이 나와 꽃이 달리며 전체적으로 잎이달린 취산화서로 된다. 꽃받침잎은 5개이고 난형이며 길이 3mm 정도로서 끝이 뾰족하고 3맥과 더불어 짧은 털이 있으며 꽃잎은 꽃받침보다 짧고 도란형이며 백색이다. 수술은 10개이고 암술대는 3개이며 삭과는 난형이고 길이 3mm 정도로서 끝이 6개로 갈라진다. 종자는 신장형이며 길이 0.3~0.&nm로서 짙은갈색이고 겉에잔점이 있다. 어린 순을 나물로 한다.",,
1000050,Dryas octopetala,,Species,Ready(Synonym),,,,,,,
1000051,Sonchus arvensis,,Species,Ready(Synonym),,,,,,,
1000052,Sonchus brachyotus,사데풀,Species,Ready(Synonym),,,,,,,
1000053,Polypogon monspeliensis,갯쇠돌피,Species,Ready(Synonym),,,,,"남쪽 바닷가 양지 쪽 습지에서 자라는 1년초로서 높이30~40cm이고 총생한다. 잎은 길이 10~15cm, 너비 4~8_로서 분록색이며 편평하고 잎혀는 백색이며 3각형으로서 길이 3~8mm 이다. 꽃은 5?6월에 피고 원추화서는 울퉁불퉁하며 연한녹색으로서 털이 많고 꽃차례는길이 3~8cm, 지름 7? 12mm 이며 가지는 반윤생 (半輪生)한다. 소수는 연한녹색이고 소화경과 더불어 길이2?2_2mm로서 1개의 꽃이 들어 있다. 포영은 1맥이 있으며 뒷면이 둥글고 털이있으며 갈라진 틈에서 포영길이의 2~4배 되는 까락이돋는다. 호영과 내영은 포영보다 짧고 짧은 까락과 5맥이 있다.",,
1000054,Viola keiskei,잔털제비꽃,Species,Ready(Synonym),,,,,산지의 숲 가장자리에서 자라는 다년초로서 원줄기가 없고 전체에 털이 있으며 뿌리에서 잎이 돋는다. 잎은 난상 원형이고끝이 둥글거나 둔두이며 깊은 심장저이고 길이와 너비가 각각 5?6cm로서 가장자리에 물결형의 톱니가 있으며 잎자루는 길이 20cm 정도이다. 4월에 잎 사이에서 길이 5? 10cm 의 꽃자루가 나와 그끝에 옆으로 향한 흰 꽃이 달리고 꽃대축〔花軸〕에 털이 없다. 꽃받침잎은 좁고 긴 타원형이며 끝이둔하고 길이 6~8mm로서 털이 없으며 부속체는 네모가 지고 톱니가 약간 있다. 꽃잎은 길이 10-14mm로서 옆의 것은 털이 약간 있거나 없으며 앞의 것은 자주색 줄이 있고 거는 길이 6~7mm이다. 열매는 난상 타원형이며 길이 7~8_로서 털이 없고 열매가 익을 때는 열매꼭지가 자라지 않으며 원줄기 밑에 뭉쳐 있다. 어린 순을 나물로 한다.,,
1000055,Viola orientalis,노랑제비꽃,Species,Ready(Synonym),,,,,,,
1000056,Viola japonica,왜제비꽃,Species,Ready(Synonym),,,,,,,
1000057,Viola hondoensis,아욱제비꽃,Species,Ready(Synonym),,,,,,,
1000058,Viola selkirkii,뫼제비꽃,Species,Ready(Synonym),,,,,"산지의 숲속에서 자라는 다년초로서 높이가 6αη에 달하고 잎의 표면 또는 뒷면, 잎자루 윗부분. 꽃자루의 일부분 및 꽃받침에털이 있거나 없으며 근경은 짧고 가늘며꽃이 진 다음 땅속에 포복지가 생긴다. 잎은 난상 심장형이고 녹색이며 밑부분이 깊은 심장저이고 끝이 뾰족하며길이와 너비フト 각각 2?3αη이지만 열매 때에는 5αη에 달하고 가장자리에 물결형의 톱니가 있으며 잎자루는 길이3~10cm이다. 꽃자루는 길이 5?8αη로서 잎과 길이가 다소 비슷하고 꽃은 4~5월에 피며 연한 자주색이다. 꽃받침잎은 피침형이고 길이 5~7cm이며 부속체는 난상 3각형으로서 끝에 뾰족한 톱니가 있고 꽃잎은 길이 12?15mm이며 측판（側瓣）에 털이 없고 순판（脣瓣）에 자주색 줄이 있다. 거는 짧은 원통형이며 길이 6~8_이다.",,
1000059,Viola collina,둥근털제비꽃,Species,Ready(Synonym),,,,,,,
1000060,Viola diamantiaca,금강제비꽃,Species,Ready(Synonym),,,,,,,
1000061,Viola rossii,고깔제비꽃,Species,Ready(Synonym),,,,,"산지의 나무 그늘이나 양지에서 자라는 다년초로서 높이가 15cm 에 달하고 근경이 굵으며 마디가 많고 뿌리에서 2~5개의 잎이 나오며 꽃이 필 무렵에는 양쪽 밑부분이 안쪽으로 말려서 고깔처럼 되므로 고깔제비꽃이라고 한다. 성숙한 잎은 난상 심장형이고 끝이 갑자기뾰족해지며 길이 4~7cm, 너비 4?8cm로서 양면, 특히뒷면 맥 위에 털이 있고 잎자루는 길이 10?25cm 이며턱잎은 서로 떨어지고 피침형이며 길이 7~10mm이다.꽃자루는 높이 10~15cm이고 4~5월에 1개의 홍자색꽃이 달리며 꽃받침잎은 장타원형이고 둔두이며 길이 7~8_이고 부속체는 둔한 4각형이며 가장자리가 밋밋하다. 꽃잎은 길이 15?20mm 로서 원두이거나 약간 파지고 측열편은 털이 없거나약간 있으며 거는 짧고 굵으며 길이 3?4mm 로서 끝이둥글다. 수술은 5개이고 1개의 씨방과 1개의 암술대가있으며 삭과는 털이 없고 길이 1~ 1.5cm 로서 뚜렷하지않은 갈색 반점이 있다. 민간에서 전초를 종처（腫處）에사용한다.",,
1000062,Viola websteri,왕제비꽃,Species,Ready(Synonym),,,,,,,
1000063,Viola variegata,알록제비꽃,Species,Ready(Synonym),,,,,,,
1000064,Viola sacchalinensis,왜졸방제비꽃,Species,Ready(Synonym),,,,,부전고원 및 갑산에서 자라는 다년초로서 높이 2?5cm 이며 근경이 짧고 원줄기는 몇 개씩 비스듬히 서며 열매 때에는 높이 10~25cm이고 마르면 갈색 점이 생긴다. 뿌리에서 돋은 잎은 심원형（心圓形〉또는 신원형（腎圓形）이며 가장자리에희미하고 둔한 톱니가 있고 길이와 너비가 각각 3?4cm이며 잎자루가 잎보다 2?3배 길고 줄기에 달린 잎은 잎자루가 짧으며 턱잎이 중렬（中裂）한다. 꽃은 5월에 피고 액생하며 연한 자주색이고 꽃받침잎은 좁은 피침형이며 길이 4?6mm로서 끝이 날카롭고 부속체는 반원형이며 가장자리가 밋밋하다. 꽃잎은 길이 10-15mm이고 측판에 털이 있으며 거는 장타원형으로서 길이 4~6mm이고 삭과는원줄기 윗부분의 꽃자루가 짧은 폐쇄화에서 생기며 난상 타원형이다.,,
1000065,Viola yazawana,애기금강제비꽃,Species,Ready(Synonym),,,,,,,
1000066,Viola woosanensis,우산제비꽃,Species,Ready(Synonym),,,,,,,
1000067,Viola patrinii,흰제비꽃,Species,Ready(Synonym),,,,,"햇볕이 잘 쬐는 습지에서 혼히 자라는 다년초로서 높이 10~15cm 이고 뿌리가 혹갈색이며 근경（根莖）은 짧고 원줄기가 없으며 털이 없거나 엽맥과 잎자루 밑부분에짧게 퍼진 털이 있다. 잎은 다소 곧추서고 3각상 피침형 또는 장타원상 넓은 피침형이며 끝이 둔하거나 뾰족하고 밑부분이 수평에 가까우며 길이 2.5?7cm, 너비 l~2cm로서 희미한 톱니가 있고 잎자루는 길이 4? 10cm의 날개가 있다. 꽃자루는 길이 7~15cm이며 꽃은 흰빛 또는 자줏빛이 돌고 꽃받침잎은 피침형이며 길이 4~7_로서 끝이 뾰족하고 부속체에 톱니가 약간 있다. 꽃잎은 길이 10-13_이며 측열편에 털이 다소 있고 순판（脣瓣）에 자주색 줄이 있으며 거（距）는 타원형이고 길이 3-4mm이다. 삭과（葫果）는 길이 8mm 정도로서 털이 없다.",,
1000068,Viola violacea,자주잎제비꽃,Species,Ready(Synonym),,,,,,,
1000069,Viola albida,태백제비꽃,Species,Ready(Synonym),,,,,,,
1000070,Viola phalacrocarpa,털제비꽃,Species,Ready(Synonym),,,,,"양지 쪽 구릉지에서 자라는 다년초로서 근경은 짧고다소 총생하며 짧은 퍼진 털이 있다. 잎은 난형 또는 좁은 난형이고 길이 l~3cm. 너비 0.8~2.5cm로서 얕은 심장저이며 열매 때에는 길이가 8cm에 달하는 것도 있다.잎자루〔葉柄〕는 길이 3~10cm이지만 열매 때에는 길이20αη 이고 위쪽에 좁은 날개가 있다. 꽃자루〔花梗〕는 높이 5~10cm이며 꽃은 홍자색이고 꽃받침잎은 넓은 피침형이며 길이 6~7mm 로서 끝이 둔하고 부속체는 3각형이며 끝이 뾰족하거나 4각형으로서 톱니와 털이 있다. 꽃잎은 길이 10-13mm이고 측열편（側裂片） 밑부분에는 털이 있으며 거（距）는길이 6~8mm 로서 잔털이있고 삭과（?果）는 잔털로덮여 있으며 타원형이다. 전체에 털이 전혀 없는 것을민둥제비꽃, for. glaberrimaF. Maekawa 이라고 하며 지리산에서 자란다.",,
1000071,Viola lactiflora,흰젖제비꽃,Species,Ready(Synonym),,,,,"왜제비꽃과 흰제비꽃의 중간형이지만 왜제비꽃에 비해꽃이 백색이고 꽃잎의 측열편 안쪽에 털이 있으며 거가짧고. 흰제비꽃에 비해 잎이 넓으며 잎자루에 날개가 없다. 원줄기는 없고 뿌리는 백색이며 잎은 긴 3각형 또는장타원형으로서 밑부분이 화살모양에 가깝고 끝이 둔하며 가장자리에 뾰족한 톱니가 있고 잎자루에 날개가 없다. 꽃자루는 잎보다 길며 중앙부에 2개의 포가 있고 포는 선형（線形）이다. 꽃은 4월에 피며 백색이고 꽃받침잎은 피침형 또는 넓은피침형이며 밑부분이 뾰족하고 꽃잎은 백색이며 측열편의 안쪽에 털이 있고 거는길이 5mm, 너비 3mm 이다.삭과는 장타원형으로서 털이없다.",,
1000072,Viola ovato-oblonga,긴잎제비꽃,Species,Ready(Synonym),,,,,,,
1000073,Viola hirtipes,흰털제비꽃,Species,Ready(Synonym),,,,,,,
1000074,Viola philippica,호제비꽃,Species,Ready(Synonym),,,,,,,
